,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
44,ICICIBANK,EQ,04-Mar-2013,1056.35,1054.5,1069.85,1046.7,1061.5,1058.65,1057.83,2995487,31687.18,79143,1783814,59.55
45,ICICIBANK,EQ,05-Mar-2013,1058.65,1070.0,1098.6,1066.35,1090.0,1093.6,1087.16,3827320,41609.02,112615,2387948,62.39
46,ICICIBANK,EQ,06-Mar-2013,1093.6,1108.75,1110.0,1096.0,1109.15,1108.35,1104.23,3635189,40140.98,75441,2609006,71.77
47,ICICIBANK,EQ,07-Mar-2013,1108.35,1102.1,1122.2,1098.0,1119.0,1117.15,1107.65,2489549,27575.49,72217,1512639,60.76
48,ICICIBANK,EQ,08-Mar-2013,1117.15,1119.2,1142.8,1119.2,1139.25,1139.3,1130.79,2870182,32455.69,110825,1742271,60.7
49,ICICIBANK,EQ,11-Mar-2013,1139.3,1145.7,1151.4,1127.0,1127.1,1131.95,1135.23,2962302,33629.01,83812,1966700,66.39
50,ICICIBANK,EQ,12-Mar-2013,1131.95,1130.0,1137.8,1115.0,1118.5,1123.1,1125.29,2434348,27393.55,61359,1467807,60.3
51,ICICIBANK,EQ,13-Mar-2013,1123.1,1113.9,1114.7,1082.7,1084.0,1085.7,1098.13,2677154,29398.67,63495,1569685,58.63
52,ICICIBANK,EQ,14-Mar-2013,1085.7,1087.0,1116.0,1060.0,1109.0,1110.65,1094.11,5977033,65395.55,120562,2544170,42.57
53,ICICIBANK,EQ,15-Mar-2013,1110.65,1101.1,1102.9,1056.0,1068.9,1067.5,1074.45,7092971,76210.78,184548,3794481,53.5
54,ICICIBANK,EQ,18-Mar-2013,1067.5,1051.0,1055.7,1035.45,1052.0,1051.4,1045.16,4284502,44779.78,138399,2091111,48.81
55,ICICIBANK,EQ,19-Mar-2013,1051.4,1066.0,1071.9,1021.1,1030.0,1032.6,1047.22,6324299,66229.37,141573,2627630,41.55
56,ICICIBANK,EQ,20-Mar-2013,1032.6,1031.0,1034.75,996.55,1006.6,1001.55,1015.84,3427365,34816.71,92457,1385851,40.43
57,ICICIBANK,EQ,21-Mar-2013,1001.55,1013.6,1059.25,1011.15,1032.3,1035.35,1040.35,6556904,68215.04,169008,3589935,54.75
58,ICICIBANK,EQ,22-Mar-2013,1035.35,1043.0,1049.0,1017.5,1026.85,1028.35,1029.25,3701590,38098.72,136242,1963117,53.03
59,ICICIBANK,EQ,25-Mar-2013,1028.35,1040.35,1048.65,1008.85,1015.0,1012.6,1029.38,2727756,28079.05,72598,1293796,47.43
60,ICICIBANK,EQ,26-Mar-2013,1012.6,1003.35,1027.0,1002.15,1024.9,1020.9,1017.33,2711239,27582.37,92838,1415289,52.2
61,ICICIBANK,EQ,28-Mar-2013,1020.9,1025.05,1056.35,1006.1,1050.15,1045.2,1025.66,5580113,57232.76,153345,3132590,56.14
62,ICICIBANK,EQ,01-Apr-2013,1045.2,1057.0,1060.0,1038.5,1050.0,1051.55,1049.7,2076153,21793.28,76301,985375,47.46
63,ICICIBANK,EQ,02-Apr-2013,1051.55,1052.7,1054.05,1039.15,1046.65,1046.9,1046.79,1545246,16175.55,51045,681437,44.1
